Time [s], Analyzer Name, Decoded Protocol Result
0.027125280000000,USB LS and FS,PID SOF
0.027125920000000,USB LS and FS,Frame # 0x4E8
0.027126840000000,USB LS and FS,CRC OK 0x14
0.027127280000000,USB LS and FS,EOP
0.028124640000000,USB LS and FS,SYNC
0.028125280000000,USB LS and FS,PID SOF
0.028125960000000,USB LS and FS,Frame # 0x4E9
0.028126880000000,USB LS and FS,CRC OK 0x0B
0.028127320000000,USB LS and FS,EOP
0.029124680000000,USB LS and FS,SYNC
0.029125320000000,USB LS and FS,PID SOF
0.029126000000000,USB LS and FS,Frame # 0x4EA
0.029126920000000,USB LS and FS,CRC OK 0x03
0.029127360000000,USB LS and FS,EOP
0.030124720000000,USB LS and FS,SYNC
0.030125360000000,USB LS and FS,PID SOF
0.030126040000000,USB LS and FS,Frame # 0x4EB
0.030126960000000,USB LS and FS,CRC OK 0x1C
0.030127400000000,USB LS and FS,EOP
0.031124800000000,USB LS and FS,SYNC
0.031125440000000,USB LS and FS,PID SOF
0.031126120000000,USB LS and FS,Frame # 0x4EC
0.031127040000000,USB LS and FS,CRC OK 0x13
0.031127480000000,USB LS and FS,EOP
0.032124800000000,USB LS and FS,SYNC
0.032125480000000,USB LS and FS,PID SOF
0.032126120000000,USB LS and FS,Frame # 0x4ED
0.032127080000000,USB LS and FS,CRC OK 0x0C
0.032127480000000,USB LS and FS,EOP
0.033124840000000,USB LS and FS,SYNC
0.033125520000000,USB LS and FS,PID SOF
0.033126200000000,USB LS and FS,Frame # 0x4EE
0.033127120000000,USB LS and FS,CRC OK 0x04
0.033127520000000,USB LS and FS,EOP
0.034124880000000,USB LS and FS,SYNC
0.034125560000000,USB LS and FS,PID SOF
0.034126200000000,USB LS and FS,Frame # 0x4EF
0.034127120000000,USB LS and FS,CRC OK 0x1B
0.034127560000000,USB LS and FS,EOP
0.035124920000000,USB LS and FS,SYNC
0.035125600000000,USB LS and FS,PID SOF
0.035126280000000,USB LS and FS,Frame # 0x4F0
0.035127200000000,USB LS and FS,CRC OK 0x06
0.035127600000000,USB LS and FS,EOP
0.036125000000000,USB LS and FS,SYNC
0.036125640000000,USB LS and FS,PID SOF
0.036126320000000,USB LS and FS,Frame # 0x4F1
0.036127240000000,USB LS and FS,CRC OK 0x19
0.036127680000000,USB LS and FS,EOP
0.037125040000000,USB LS and FS,SYNC
0.037125680000000,USB LS and FS,PID SOF
0.037126360000000,USB LS and FS,Frame # 0x4F2
0.037127280000000,USB LS and FS,CRC OK 0x11
0.037127720000000,USB LS and FS,EOP
0.038125080000000,USB LS and FS,SYNC
0.038125720000000,USB LS and FS,PID SOF
0.038126400000000,USB LS and FS,Frame # 0x4F3
0.038127320000000,USB LS and FS,CRC OK 0x0E
0.038127760000000,USB LS and FS,EOP
0.039125120000000,USB LS and FS,SYNC
0.039125800000000,USB LS and FS,PID SOF
0.039126440000000,USB LS and FS,Frame # 0x4F4
0.039127360000000,USB LS and FS,CRC OK 0x01
0.039127800000000,USB LS and FS,EOP
0.040125160000000,USB LS and FS,SYNC
0.040125840000000,USB LS and FS,PID SOF
0.040126520000000,USB LS and FS,Frame # 0x4F5
0.040127440000000,USB LS and FS,CRC OK 0x1E
0.040127840000000,USB LS and FS,EOP
0.041125200000000,USB LS and FS,SYNC
0.041125880000000,USB LS and FS,PID SOF
0.041126560000000,USB LS and FS,Frame # 0x4F6
0.041127480000000,USB LS and FS,CRC OK 0x16
0.041127880000000,USB LS and FS,EOP
0.042125280000000,USB LS and FS,SYNC
0.042125920000000,USB LS and FS,PID SOF
0.042126600000000,USB LS and FS,Frame # 0x4F7
0.042127520000000,USB LS and FS,CRC OK 0x09
0.042127920000000,USB LS and FS,EOP
0.043125320000000,USB LS and FS,SYNC
0.043125960000000,USB LS and FS,PID SOF
0.043126640000000,USB LS and FS,Frame # 0x4F8
0.043127560000000,USB LS and FS,CRC OK 0x08
0.043127960000000,USB LS and FS,EOP
0.044125360000000,USB LS and FS,SYNC
0.044126040000000,USB LS and FS,PID SOF
0.044126680000000,USB LS and FS,Frame # 0x4F9
0.044127600000000,USB LS and FS,CRC OK 0x17
0.044128040000000,USB LS and FS,EOP
0.045125400000000,USB LS and FS,SYNC
0.045126080000000,USB LS and FS,PID SOF
0.045126720000000,USB LS and FS,Frame # 0x4FA
0.045127640000000,USB LS and FS,CRC OK 0x1F
0.045128160000000,USB LS and FS,EOP
0.046125440000000,USB LS and FS,SYNC
0.046126120000000,USB LS and FS,PID SOF
0.046126760000000,USB LS and FS,Frame # 0x4FB
0.046127680000000,USB LS and FS,CRC OK 0x00
0.046128120000000,USB LS and FS,EOP
0.047125480000000,USB LS and FS,SYNC
0.047126160000000,USB LS and FS,PID SOF
0.047126800000000,USB LS and FS,Frame # 0x4FC
0.047127800000000,USB LS and FS,CRC OK 0x0F
0.047128240000000,USB LS and FS,EOP
0.048125560000000,USB LS and FS,SYNC
0.048126200000000,USB LS and FS,PID SOF
0.048126880000000,USB LS and FS,Frame # 0x4FD
0.048127880000000,USB LS and FS,CRC OK 0x10
0.048128320000000,USB LS and FS,EOP
0.049125600000000,USB LS and FS,SYNC
0.049126240000000,USB LS and FS,PID SOF
0.049126920000000,USB LS and FS,Frame # 0x4FE
0.049127920000000,USB LS and FS,CRC OK 0x18
0.049128360000000,USB LS and FS,EOP
0.050125640000000,USB LS and FS,SYNC
0.050126280000000,USB LS and FS,PID SOF
0.050126960000000,USB LS and FS,Frame # 0x4FF
0.050127960000000,USB LS and FS,CRC OK 0x07
0.050128400000000,USB LS and FS,EOP
0.051125680000000,USB LS and FS,SYNC
0.051126320000000,USB LS and FS,PID SOF
0.051127000000000,USB LS and FS,Frame # 0x500
0.051127920000000,USB LS and FS,CRC OK 0x13
0.051128360000000,USB LS and FS,EOP
0.052125760000000,USB LS and FS,SYNC
0.052126400000000,USB LS and FS,PID SOF
0.052127080000000,USB LS and FS,Frame # 0x501
0.052128000000000,USB LS and FS,CRC OK 0x0C
0.052128400000000,USB LS and FS,EOP
0.053125760000000,USB LS and FS,SYNC
0.053126440000000,USB LS and FS,PID SOF
0.053127120000000,USB LS and FS,Frame # 0x502
0.053128000000000,USB LS and FS,CRC OK 0x04
0.053128440000000,USB LS and FS,EOP
0.054125800000000,USB LS and FS,SYNC
0.054126480000000,USB LS and FS,PID SOF
0.054127120000000,USB LS and FS,Frame # 0x503
0.054128040000000,USB LS and FS,CRC OK 0x1B
0.054128480000000,USB LS and FS,EOP
0.055125840000000,USB LS and FS,SYNC
0.055126520000000,USB LS and FS,PID SOF
0.055127200000000,USB LS and FS,Frame # 0x504
0.055128120000000,USB LS and FS,CRC OK 0x14
0.055128520000000,USB LS and FS,EOP
0.056125880000000,USB LS and FS,SYNC
0.056126560000000,USB LS and FS,PID SOF
0.056127200000000,USB LS and FS,Frame # 0x505
0.056128120000000,USB LS and FS,CRC OK 0x0B
0.056128560000000,USB LS and FS,EOP
0.057125960000000,USB LS and FS,SYNC
