Time [s], Analyzer Name, Decoded Protocol Result,,,,,,
5.16482264,USB LS and FS,PID SOF,,,,,,
5.16482332,USB LS and FS,Frame # '633' (0x279),,,,,,
5.16482424,USB LS and FS,CRC OK '31' (0x1F),,,,,,
5.16482464,USB LS and FS,EOP,,,,,,
5.16582204,USB LS and FS,SYNC,,,,,,
5.16582268,USB LS and FS,PID SOF,,,,,,
5.16582336,USB LS and FS,Frame # '634' (0x27A),,,,,,
5.16582428,USB LS and FS,CRC OK '23' (0x17),,,,,,
5.16582472,USB LS and FS,EOP,,,,,,
5.16682208,USB LS and FS,SYNC,,,,,,
5.16682272,USB LS and FS,PID SOF,,,,,,
5.1668234,USB LS and FS,Frame # '635' (0x27B),,,,,,
5.16682432,USB LS and FS,CRC OK '8' (0x08),,,,,,
5.16682476,USB LS and FS,EOP,,,,,,
5.16782212,USB LS and FS,SYNC,,,,,,
5.1678228,USB LS and FS,PID SOF,,,,,,
5.16782344,USB LS and FS,Frame # '636' (0x27C),,,,,,
5.16782436,USB LS and FS,CRC OK '7' (0x07),,,,,,
5.1678248,USB LS and FS,EOP,,,,,,
5.16882216,USB LS and FS,SYNC,,,,,,
5.16882284,USB LS and FS,PID SOF,,,,,,
5.16882348,USB LS and FS,Frame # '637' (0x27D),,,,,,
5.1688244,USB LS and FS,CRC OK '24' (0x18),,,,,,
5.16882484,USB LS and FS,EOP,,,,,,
5.16982224,USB LS and FS,SYNC,,,,,,
5.16982288,USB LS and FS,PID SOF,,,,,,
5.16982356,USB LS and FS,Frame # '638' (0x27E),,,,,,
5.16982456,USB LS and FS,CRC OK '16' (0x10),,,,,,
5.16982496,USB LS and FS,EOP,,,,,,
5.17082228,USB LS and FS,SYNC,,,,,,
5.17082292,USB LS and FS,PID SOF,,,,,,
5.1708236,USB LS and FS,Frame # '639' (0x27F),,,,,,
5.1708246,USB LS and FS,CRC OK '15' (0x0F),,,,,,
5.170825,USB LS and FS,EOP,,,,,,
