Time [s], Analyzer Name, Decoded Protocol Result,,,,,,
5.49983724,USB LS and FS,SYNC,,,,,,
5.49983792,USB LS and FS,PID SOF,,,,,,
5.4998386,USB LS and FS,Frame # '968' (0x3C8),,,,,,
5.49983948,USB LS and FS,CRC OK '30' (0x1E),,,,,,
5.49983992,USB LS and FS,EOP,,,,,,
5.50048492,USB LS and FS,SYNC,,,,,,
5.50048556,USB LS and FS,PID IN,,,,,,
5.50048624,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.50048716,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.5004876,USB LS and FS,EOP,,,,,,
5.50048816,USB LS and FS,SYNC,,,,,,
5.50048884,USB LS and FS,PID NAK,,,,,,
5.50048948,USB LS and FS,EOP,,,,,,
5.50083728,USB LS and FS,SYNC,,,,,,
5.50083796,USB LS and FS,PID SOF,,,,,,
5.5008386,USB LS and FS,Frame # '969' (0x3C9),,,,,,
5.50083952,USB LS and FS,CRC OK '1' (0x01),,,,,,
5.50083996,USB LS and FS,EOP,,,,,,
5.50173128,USB LS and FS,SYNC,,,,,,
5.50173192,USB LS and FS,PID IN,,,,,,
5.5017326,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.50173352,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.50173396,USB LS and FS,EOP,,,,,,
5.50173452,USB LS and FS,SYNC,,,,,,
5.5017352,USB LS and FS,PID NAK,,,,,,
5.50173588,USB LS and FS,EOP,,,,,,
5.50183736,USB LS and FS,SYNC,,,,,,
5.501838,USB LS and FS,PID SOF,,,,,,
5.50183868,USB LS and FS,Frame # '970' (0x3CA),,,,,,
5.5018396,USB LS and FS,CRC OK \t (0x09),,,,,,
5.50184004,USB LS and FS,EOP,,,,,,
5.5028374,USB LS and FS,SYNC,,,,,,
5.50283804,USB LS and FS,PID SOF,,,,,,
5.50283872,USB LS and FS,Frame # '971' (0x3CB),,,,,,
5.50283964,USB LS and FS,CRC OK '22' (0x16),,,,,,
5.50284008,USB LS and FS,EOP,,,,,,
5.50298272,USB LS and FS,SYNC,,,,,,
5.5029834,USB LS and FS,PID IN,,,,,,
5.50298408,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.50298496,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.5029854,USB LS and FS,EOP,,,,,,
5.502986,USB LS and FS,SYNC,,,,,,
5.50298664,USB LS and FS,PID NAK,,,,,,
5.50298732,USB LS and FS,EOP,,,,,,
5.50383744,USB LS and FS,SYNC,,,,,,
5.50383808,USB LS and FS,PID SOF,,,,,,
5.50383876,USB LS and FS,Frame # '972' (0x3CC),,,,,,
5.50383968,USB LS and FS,CRC OK '25' (0x19),,,,,,
5.50384012,USB LS and FS,EOP,,,,,,
5.5042326,USB LS and FS,SYNC,,,,,,
5.50423328,USB LS and FS,PID IN,,,,,,
5.50423396,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.50423488,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.50423528,USB LS and FS,EOP,,,,,,
5.50423588,USB LS and FS,SYNC,,,,,,
5.50423652,USB LS and FS,PID NAK,,,,,,
5.5042372,USB LS and FS,EOP,,,,,,
5.50483748,USB LS and FS,SYNC,,,,,,
5.50483812,USB LS and FS,PID SOF,,,,,,
5.5048388,USB LS and FS,Frame # '973' (0x3CD),,,,,,
5.50483972,USB LS and FS,CRC OK '6' (0x06),,,,,,
5.50484016,USB LS and FS,EOP,,,,,,
5.50548144,USB LS and FS,SYNC,,,,,,
5.50548212,USB LS and FS,PID IN,,,,,,
5.5054828,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.50548368,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.50548412,USB LS and FS,EOP,,,,,,
5.50548476,USB LS and FS,SYNC,,,,,,
5.5054854,USB LS and FS,PID NAK,,,,,,
5.50548608,USB LS and FS,EOP,,,,,,
5.50583752,USB LS and FS,SYNC,,,,,,
5.5058382,USB LS and FS,PID SOF,,,,,,
5.50583888,USB LS and FS,Frame # '974' (0x3CE),,,,,,
5.5058398,USB LS and FS,CRC OK '14' (0x0E),,,,,,
5.5058402,USB LS and FS,EOP,,,,,,
5.50683756,USB LS and FS,SYNC,,,,,,
5.50683824,USB LS and FS,PID SOF,,,,,,
5.50683892,USB LS and FS,Frame # '975' (0x3CF),,,,,,
5.50683984,USB LS and FS,CRC OK '17' (0x11),,,,,,
5.50684024,USB LS and FS,EOP,,,,,,
5.506841,USB LS and FS,SYNC,,,,,,
5.50684164,USB LS and FS,PID IN,,,,,,
5.50684232,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.50684324,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.50684368,USB LS and FS,EOP,,,,,,
5.50684428,USB LS and FS,SYNC,,,,,,
5.50684496,USB LS and FS,PID NAK,,,,,,
5.5068456,USB LS and FS,EOP,,,,,,
5.5078376,USB LS and FS,SYNC,,,,,,
5.50783828,USB LS and FS,PID SOF,,,,,,
5.50783896,USB LS and FS,Frame # '976' (0x3D0),,,,,,
5.50783988,USB LS and FS,CRC OK '12' (0x0C),,,,,,
5.50784028,USB LS and FS,EOP,,,,,,
5.50798652,USB LS and FS,SYNC,,,,,,
5.50798716,USB LS and FS,PID IN,,,,,,
5.50798784,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.50798876,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.50798916,USB LS and FS,EOP,,,,,,
5.50798976,USB LS and FS,SYNC,,,,,,
5.5079904,USB LS and FS,PID NAK,,,,,,
5.50799108,USB LS and FS,EOP,,,,,,
5.50883764,USB LS and FS,SYNC,,,,,,
5.50883832,USB LS and FS,PID SOF,,,,,,
5.508839,USB LS and FS,Frame # '977' (0x3D1),,,,,,
5.50883992,USB LS and FS,CRC OK '19' (0x13),,,,,,
5.50884032,USB LS and FS,EOP,,,,,,
5.50923552,USB LS and FS,SYNC,,,,,,
5.5092362,USB LS and FS,PID IN,,,,,,
5.50923684,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.50923776,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.5092382,USB LS and FS,EOP,,,,,,
5.5092388,USB LS and FS,SYNC,,,,,,
5.50923944,USB LS and FS,PID NAK,,,,,,
5.50924012,USB LS and FS,EOP,,,,,,
5.50983772,USB LS and FS,SYNC,,,,,,
5.50983836,USB LS and FS,PID SOF,,,,,,
5.50983904,USB LS and FS,Frame # '978' (0x3D2),,,,,,
5.50983996,USB LS and FS,CRC OK '27' (0x1B),,,,,,
5.5098404,USB LS and FS,EOP,,,,,,
5.51048044,USB LS and FS,SYNC,,,,,,
5.51048112,USB LS and FS,PID IN,,,,,,
5.51048176,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.51048268,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.51048312,USB LS and FS,EOP,,,,,,
5.51048376,USB LS and FS,SYNC,,,,,,
5.5104844,USB LS and FS,PID NAK,,,,,,
5.51048508,USB LS and FS,EOP,,,,,,
5.51083776,USB LS and FS,SYNC,,,,,,
5.5108384,USB LS and FS,PID SOF,,,,,,
5.51083908,USB LS and FS,Frame # '979' (0x3D3),,,,,,
5.51084,USB LS and FS,CRC OK '4' (0x04),,,,,,
5.51084044,USB LS and FS,EOP,,,,,,
5.5117342,USB LS and FS,SYNC,,,,,,
5.51173484,USB LS and FS,PID IN,,,,,,
5.51173552,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.51173644,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.51173688,USB LS and FS,EOP,,,,,,
5.51173744,USB LS and FS,SYNC,,,,,,
5.51173812,USB LS and FS,PID NAK,,,,,,
5.5117388,USB LS and FS,EOP,,,,,,
5.5118378,USB LS and FS,SYNC,,,,,,
5.51183848,USB LS and FS,PID SOF,,,,,,
5.51183912,USB LS and FS,Frame # '980' (0x3D4),,,,,,
5.51184004,USB LS and FS,CRC OK '11' (0x0B),,,,,,
5.51184048,USB LS and FS,EOP,,,,,,
5.51283784,USB LS and FS,SYNC,,,,,,
5.51283852,USB LS and FS,PID SOF,,,,,,
5.51283916,USB LS and FS,Frame # '981' (0x3D5),,,,,,
5.51284008,USB LS and FS,CRC OK '20' (0x14),,,,,,
5.51284052,USB LS and FS,EOP,,,,,,
5.51298056,USB LS and FS,SYNC,,,,,,
5.5129812,USB LS and FS,PID IN,,,,,,
5.51298188,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.5129828,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.5129832,USB LS and FS,EOP,,,,,,
5.51298384,USB LS and FS,SYNC,,,,,,
5.51298448,USB LS and FS,PID NAK,,,,,,
5.51298516,USB LS and FS,EOP,,,,,,
5.51383792,USB LS and FS,SYNC,,,,,,
5.51383856,USB LS and FS,PID SOF,,,,,,
5.51383924,USB LS and FS,Frame # '982' (0x3D6),,,,,,
5.51384016,USB LS and FS,CRC OK '28' (0x1C),,,,,,
5.51384056,USB LS and FS,EOP,,,,,,
5.51423084,USB LS and FS,SYNC,,,,,,
5.51423148,USB LS and FS,PID IN,,,,,,
5.51423216,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.51423308,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.51423352,USB LS and FS,EOP,,,,,,
5.51423412,USB LS and FS,SYNC,,,,,,
5.5142348,USB LS and FS,PID NAK,,,,,,
5.51423548,USB LS and FS,EOP,,,,,,
5.51483796,USB LS and FS,SYNC,,,,,,
5.5148386,USB LS and FS,PID SOF,,,,,,
5.51483928,USB LS and FS,Frame # '983' (0x3D7),,,,,,
5.5148402,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.5148406,USB LS and FS,EOP,,,,,,
5.51548076,USB LS and FS,SYNC,,,,,,
5.5154814,USB LS and FS,PID IN,,,,,,
5.51548208,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.515483,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.51548344,USB LS and FS,EOP,,,,,,
5.515484,USB LS and FS,SYNC,,,,,,
5.51548468,USB LS and FS,PID NAK,,,,,,
5.51548532,USB LS and FS,EOP,,,,,,
5.515838,USB LS and FS,SYNC,,,,,,
5.51583864,USB LS and FS,PID SOF,,,,,,
5.51583932,USB LS and FS,Frame # '984' (0x3D8),,,,,,
5.51584024,USB LS and FS,CRC OK '2' (0x02),,,,,,
5.51584064,USB LS and FS,EOP,,,,,,
5.51673196,USB LS and FS,SYNC,,,,,,
5.5167326,USB LS and FS,PID IN,,,,,,
5.51673328,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.5167342,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.51673464,USB LS and FS,EOP,,,,,,
5.5167352,USB LS and FS,SYNC,,,,,,
5.51673588,USB LS and FS,PID NAK,,,,,,
5.51673656,USB LS and FS,EOP,,,,,,
5.51683804,USB LS and FS,SYNC,,,,,,
5.51683868,USB LS and FS,PID SOF,,,,,,
5.51683936,USB LS and FS,Frame # '985' (0x3D9),,,,,,
5.51684028,USB LS and FS,CRC OK '29' (0x1D),,,,,,
5.51684068,USB LS and FS,EOP,,,,,,
5.51783808,USB LS and FS,SYNC,,,,,,
5.51783872,USB LS and FS,PID SOF,,,,,,
5.5178394,USB LS and FS,Frame # '986' (0x3DA),,,,,,
5.51784032,USB LS and FS,CRC OK '21' (0x15),,,,,,
5.51784072,USB LS and FS,EOP,,,,,,
5.51798448,USB LS and FS,SYNC,,,,,,
5.51798512,USB LS and FS,PID IN,,,,,,
5.5179858,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.51798672,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.51798716,USB LS and FS,EOP,,,,,,
5.51798776,USB LS and FS,SYNC,,,,,,
5.5179884,USB LS and FS,PID NAK,,,,,,
5.51798908,USB LS and FS,EOP,,,,,,
5.51883812,USB LS and FS,SYNC,,,,,,
5.5188388,USB LS and FS,PID SOF,,,,,,
5.51883944,USB LS and FS,Frame # '987' (0x3DB),,,,,,
5.51884036,USB LS and FS,CRC OK \n (0x0A),,,,,,
5.5188408,USB LS and FS,EOP,,,,,,
5.51923208,USB LS and FS,SYNC,,,,,,
5.51923272,USB LS and FS,PID IN,,,,,,
5.5192334,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.51923432,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.51923476,USB LS and FS,EOP,,,,,,
5.51923528,USB LS and FS,SYNC,,,,,,
5.51923596,USB LS and FS,PID NAK,,,,,,
5.51923664,USB LS and FS,EOP,,,,,,
5.51983816,USB LS and FS,SYNC,,,,,,
5.51983884,USB LS and FS,PID SOF,,,,,,
5.51983948,USB LS and FS,Frame # '988' (0x3DC),,,,,,
5.5198404,USB LS and FS,CRC OK '5' (0x05),,,,,,
5.51984084,USB LS and FS,EOP,,,,,,
5.5204836,USB LS and FS,SYNC,,,,,,
5.52048428,USB LS and FS,PID IN,,,,,,
5.52048496,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.52048584,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.52048628,USB LS and FS,EOP,,,,,,
5.52048692,USB LS and FS,SYNC,,,,,,
5.5204876,USB LS and FS,PID NAK,,,,,,
5.52048824,USB LS and FS,EOP,,,,,,
5.5208382,USB LS and FS,SYNC,,,,,,
5.52083888,USB LS and FS,PID SOF,,,,,,
5.52083952,USB LS and FS,Frame # '989' (0x3DD),,,,,,
5.52084044,USB LS and FS,CRC OK '26' (0x1A),,,,,,
5.52084088,USB LS and FS,EOP,,,,,,
5.52173216,USB LS and FS,SYNC,,,,,,
5.52173284,USB LS and FS,PID IN,,,,,,
5.52173352,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.52173444,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.52173484,USB LS and FS,EOP,,,,,,
5.52173544,USB LS and FS,SYNC,,,,,,
5.52173612,USB LS and FS,PID NAK,,,,,,
5.5217368,USB LS and FS,EOP,,,,,,
5.52183824,USB LS and FS,SYNC,,,,,,
5.52183892,USB LS and FS,PID SOF,,,,,,
5.5218396,USB LS and FS,Frame # '990' (0x3DE),,,,,,
5.52184048,USB LS and FS,CRC OK '18' (0x12),,,,,,
5.52184092,USB LS and FS,EOP,,,,,,
5.52283832,USB LS and FS,SYNC,,,,,,
5.52283896,USB LS and FS,PID SOF,,,,,,
5.52283964,USB LS and FS,Frame # '991' (0x3DF),,,,,,
5.52284064,USB LS and FS,CRC OK \r (0x0D),,,,,,
5.52284108,USB LS and FS,EOP,,,,,,
5.52298596,USB LS and FS,SYNC,,,,,,
5.5229866,USB LS and FS,PID IN,,,,,,
5.52298728,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.5229882,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.52298864,USB LS and FS,EOP,,,,,,
5.52298924,USB LS and FS,SYNC,,,,,,
5.52298992,USB LS and FS,PID NAK,,,,,,
5.5229906,USB LS and FS,EOP,,,,,,
5.52383836,USB LS and FS,SYNC,,,,,,
5.523839,USB LS and FS,PID SOF,,,,,,
5.52383968,USB LS and FS,Frame # '992' (0x3E0),,,,,,
5.5238406,USB LS and FS,CRC OK '1' (0x01),,,,,,
5.52384104,USB LS and FS,EOP,,,,,,
5.52423352,USB LS and FS,SYNC,,,,,,
5.5242342,USB LS and FS,PID IN,,,,,,
5.52423488,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.52423576,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.5242362,USB LS and FS,EOP,,,,,,
5.5242368,USB LS and FS,SYNC,,,,,,
5.52423744,USB LS and FS,PID NAK,,,,,,
5.52423812,USB LS and FS,EOP,,,,,,
5.5248384,USB LS and FS,SYNC,,,,,,
5.52483904,USB LS and FS,PID SOF,,,,,,
5.52483972,USB LS and FS,Frame # '993' (0x3E1),,,,,,
5.52484064,USB LS and FS,CRC OK '30' (0x1E),,,,,,
5.52484108,USB LS and FS,EOP,,,,,,
5.52549612,USB LS and FS,SYNC,,,,,,
5.5254968,USB LS and FS,PID IN,,,,,,
5.52549748,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.5254984,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.5254988,USB LS and FS,EOP,,,,,,
5.5254994,USB LS and FS,SYNC,,,,,,
5.52550008,USB LS and FS,PID NAK,,,,,,
5.52550076,USB LS and FS,EOP,,,,,,
5.52583844,USB LS and FS,SYNC,,,,,,
5.52583908,USB LS and FS,PID SOF,,,,,,
5.52583976,USB LS and FS,Frame # '994' (0x3E2),,,,,,
5.52584068,USB LS and FS,CRC OK '22' (0x16),,,,,,
5.52584112,USB LS and FS,EOP,,,,,,
5.52674752,USB LS and FS,SYNC,,,,,,
5.5267482,USB LS and FS,PID IN,,,,,,
5.52674888,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.5267498,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.5267502,USB LS and FS,EOP,,,,,,
5.5267508,USB LS and FS,SYNC,,,,,,
5.52675144,USB LS and FS,PID NAK,,,,,,
5.52675212,USB LS and FS,EOP,,,,,,
5.52683848,USB LS and FS,SYNC,,,,,,
5.52683916,USB LS and FS,PID SOF,,,,,,
5.5268398,USB LS and FS,Frame # '995' (0x3E3),,,,,,
5.52684072,USB LS and FS,CRC OK \t (0x09),,,,,,
5.52684116,USB LS and FS,EOP,,,,,,
5.52783852,USB LS and FS,SYNC,,,,,,
5.5278392,USB LS and FS,PID SOF,,,,,,
5.52783988,USB LS and FS,Frame # '996' (0x3E4),,,,,,
5.5278408,USB LS and FS,CRC OK '6' (0x06),,,,,,
5.5278412,USB LS and FS,EOP,,,,,,
5.52798248,USB LS and FS,SYNC,,,,,,
5.52798312,USB LS and FS,PID IN,,,,,,
5.5279838,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.52798472,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.52798516,USB LS and FS,EOP,,,,,,
5.52798576,USB LS and FS,SYNC,,,,,,
5.5279864,USB LS and FS,PID NAK,,,,,,
5.52798708,USB LS and FS,EOP,,,,,,
5.52883856,USB LS and FS,SYNC,,,,,,
5.52883924,USB LS and FS,PID SOF,,,,,,
5.52883992,USB LS and FS,Frame # '997' (0x3E5),,,,,,
5.52884084,USB LS and FS,CRC OK '25' (0x19),,,,,,
5.52884124,USB LS and FS,EOP,,,,,,
5.52923252,USB LS and FS,SYNC,,,,,,
5.5292332,USB LS and FS,PID IN,,,,,,
5.52923384,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.52923476,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.5292352,USB LS and FS,EOP,,,,,,
5.5292358,USB LS and FS,SYNC,,,,,,
5.52923644,USB LS and FS,PID NAK,,,,,,
5.52923712,USB LS and FS,EOP,,,,,,
5.5298386,USB LS and FS,SYNC,,,,,,
5.52983928,USB LS and FS,PID SOF,,,,,,
5.52983996,USB LS and FS,Frame # '998' (0x3E6),,,,,,
5.52984088,USB LS and FS,CRC OK '17' (0x11),,,,,,
5.52984128,USB LS and FS,EOP,,,,,,
5.5304826,USB LS and FS,SYNC,,,,,,
5.53048324,USB LS and FS,PID IN,,,,,,
5.53048392,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.53048484,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.53048528,USB LS and FS,EOP,,,,,,
5.53048584,USB LS and FS,SYNC,,,,,,
5.53048652,USB LS and FS,PID NAK,,,,,,
5.53048716,USB LS and FS,EOP,,,,,,
5.53083864,USB LS and FS,SYNC,,,,,,
5.53083932,USB LS and FS,PID SOF,,,,,,
5.53084,USB LS and FS,Frame # '999' (0x3E7),,,,,,
5.53084092,USB LS and FS,CRC OK '14' (0x0E),,,,,,
5.53084132,USB LS and FS,EOP,,,,,,
5.53173412,USB LS and FS,SYNC,,,,,,
5.5317348,USB LS and FS,PID IN,,,,,,
5.53173548,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.53173636,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.5317368,USB LS and FS,EOP,,,,,,
5.53173736,USB LS and FS,SYNC,,,,,,
5.53173804,USB LS and FS,PID NAK,,,,,,
5.53173872,USB LS and FS,EOP,,,,,,
5.53183872,USB LS and FS,SYNC,,,,,,
5.53183936,USB LS and FS,PID SOF,,,,,,
5.53184004,USB LS and FS,Frame # '1000' (0x3E8),,,,,,
5.53184096,USB LS and FS,CRC OK '15' (0x0F),,,,,,
5.5318414,USB LS and FS,EOP,,,,,,
5.53283876,USB LS and FS,SYNC,,,,,,
5.5328394,USB LS and FS,PID SOF,,,,,,
5.53284008,USB LS and FS,Frame # '1001' (0x3E9),,,,,,
5.532841,USB LS and FS,CRC OK '16' (0x10),,,,,,
5.53284144,USB LS and FS,EOP,,,,,,
5.532984,USB LS and FS,SYNC,,,,,,
5.53298464,USB LS and FS,PID IN,,,,,,
5.53298532,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.53298624,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.53298664,USB LS and FS,EOP,,,,,,
5.53298724,USB LS and FS,SYNC,,,,,,
5.53298792,USB LS and FS,PID NAK,,,,,,
5.5329886,USB LS and FS,EOP,,,,,,
5.5338388,USB LS and FS,SYNC,,,,,,
5.53383948,USB LS and FS,PID SOF,,,,,,
5.53384012,USB LS and FS,Frame # '1002' (0x3EA),,,,,,
5.53384104,USB LS and FS,CRC OK '24' (0x18),,,,,,
5.53384148,USB LS and FS,EOP,,,,,,
5.53423644,USB LS and FS,SYNC,,,,,,
5.53423712,USB LS and FS,PID IN,,,,,,
5.5342378,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.53423868,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.53423912,USB LS and FS,EOP,,,,,,
5.53423972,USB LS and FS,SYNC,,,,,,
5.53424036,USB LS and FS,PID NAK,,,,,,
5.53424104,USB LS and FS,EOP,,,,,,
5.53483884,USB LS and FS,SYNC,,,,,,
5.53483952,USB LS and FS,PID SOF,,,,,,
5.53484016,USB LS and FS,Frame # '1003' (0x3EB),,,,,,
5.53484108,USB LS and FS,CRC OK '7' (0x07),,,,,,
5.53484152,USB LS and FS,EOP,,,,,,
5.53548652,USB LS and FS,SYNC,,,,,,
5.53548716,USB LS and FS,PID IN,,,,,,
5.53548784,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.53548876,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.5354892,USB LS and FS,EOP,,,,,,
5.53548976,USB LS and FS,SYNC,,,,,,
5.53549044,USB LS and FS,PID NAK,,,,,,
5.53549108,USB LS and FS,EOP,,,,,,
5.53583892,USB LS and FS,SYNC,,,,,,
5.53583956,USB LS and FS,PID SOF,,,,,,
5.53584024,USB LS and FS,Frame # '1004' (0x3EC),,,,,,
5.53584116,USB LS and FS,CRC OK '8' (0x08),,,,,,
5.53584156,USB LS and FS,EOP,,,,,,
5.53674028,USB LS and FS,SYNC,,,,,,
5.53674092,USB LS and FS,PID IN,,,,,,
5.5367416,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.53674252,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.53674296,USB LS and FS,EOP,,,,,,
5.53674348,USB LS and FS,SYNC,,,,,,
5.53674412,USB LS and FS,PID NAK,,,,,,
5.5367448,USB LS and FS,EOP,,,,,,
5.53683896,USB LS and FS,SYNC,,,,,,
5.5368396,USB LS and FS,PID SOF,,,,,,
5.53684028,USB LS and FS,Frame # '1005' (0x3ED),,,,,,
5.5368412,USB LS and FS,CRC OK '23' (0x17),,,,,,
5.5368416,USB LS and FS,EOP,,,,,,
5.537839,USB LS and FS,SYNC,,,,,,
5.53783964,USB LS and FS,PID SOF,,,,,,
5.53784032,USB LS and FS,Frame # '1006' (0x3EE),,,,,,
5.53784124,USB LS and FS,CRC OK '31' (0x1F),,,,,,
5.53784164,USB LS and FS,EOP,,,,,,
5.53798816,USB LS and FS,SYNC,,,,,,
5.5379888,USB LS and FS,PID IN,,,,,,
5.53798948,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.5379904,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.53799084,USB LS and FS,EOP,,,,,,
5.53799144,USB LS and FS,SYNC,,,,,,
5.53799208,USB LS and FS,PID NAK,,,,,,
5.53799276,USB LS and FS,EOP,,,,,,
5.53883904,USB LS and FS,SYNC,,,,,,
5.53883968,USB LS and FS,PID SOF,,,,,,
5.53884036,USB LS and FS,Frame # '1007' (0x3EF),,,,,,
5.53884128,USB LS and FS,CRC OK '0' (0x00),,,,,,
5.53884168,USB LS and FS,EOP,,,,,,
5.53923052,USB LS and FS,SYNC,,,,,,
5.5392312,USB LS and FS,PID IN,,,,,,
5.53923184,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.53923276,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.5392332,USB LS and FS,EOP,,,,,,
5.5392338,USB LS and FS,SYNC,,,,,,
5.53923448,USB LS and FS,PID NAK,,,,,,
5.53923512,USB LS and FS,EOP,,,,,,
5.53983908,USB LS and FS,SYNC,,,,,,
5.53983976,USB LS and FS,PID SOF,,,,,,
5.5398404,USB LS and FS,Frame # '1008' (0x3F0),,,,,,
5.5398414,USB LS and FS,CRC OK '29' (0x1D),,,,,,
5.53984184,USB LS and FS,EOP,,,,,,
5.5404818,USB LS and FS,SYNC,,,,,,
5.54048248,USB LS and FS,PID IN,,,,,,
5.54048316,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.54048404,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.54048448,USB LS and FS,EOP,,,,,,
5.54048508,USB LS and FS,SYNC,,,,,,
5.54048576,USB LS and FS,PID NAK,,,,,,
5.54048644,USB LS and FS,EOP,,,,,,
5.54083912,USB LS and FS,SYNC,,,,,,
5.5408398,USB LS and FS,PID SOF,,,,,,
5.54084044,USB LS and FS,Frame # '1009' (0x3F1),,,,,,
5.54084144,USB LS and FS,CRC OK '2' (0x02),,,,,,
5.54084188,USB LS and FS,EOP,,,,,,
5.54173064,USB LS and FS,SYNC,,,,,,
5.54173128,USB LS and FS,PID IN,,,,,,
5.54173196,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
5.54173288,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.54173328,USB LS and FS,EOP,,,,,,
5.54173388,USB LS and FS,SYNC,,,,,,
5.54173456,USB LS and FS,PID NAK,,,,,,
5.54173524,USB LS and FS,EOP,,,,,,
5.54183916,USB LS and FS,SYNC,,,,,,
5.54183984,USB LS and FS,PID SOF,,,,,,
5.54184048,USB LS and FS,Frame # '1010' (0x3F2),,,,,,
5.54184148,USB LS and FS,CRC OK \n (0x0A),,,,,,
5.54184192,USB LS and FS,EOP,,,,,,
5.5428392,USB LS and FS,SYNC,,,,,,
5.54283988,USB LS and FS,PID SOF,,,,,,
5.54284052,USB LS and FS,Frame # '1011' (0x3F3),,,,,,
5.54284152,USB LS and FS,CRC OK '21' (0x15),,,,,,
5.54284196,USB LS and FS,EOP,,,,,,
5.542982,USB LS and FS,SYNC,,,,,,
5.54298264,USB LS and FS,PID IN,,,,,,
5.54298332,USB LS and FS,Address=& (0x26) Endpoint='0' (0x00),,,,,,
