Time[s], D+, D-
0.000000000000000, 1, 0
0.000123360000000, 0, 1
0.000123440000000, 1, 0
0.000123520000000, 0, 1
0.000123600000000, 1, 0
0.000123680000000, 0, 1
0.000123760000000, 1, 0
0.000123840000000, 0, 1
0.000124080000000, 1, 1
0.000124120000000, 1, 0
0.000124280000000, 0, 1
0.000124360000000, 1, 0
0.000124520000000, 0, 1
0.000124760000000, 1, 0
0.000125000000000, 0, 1
0.000125080000000, 1, 1
0.000125120000000, 1, 0
0.000125360000000, 0, 1
0.000125440000000, 1, 0
0.000125680000000, 0, 1
0.000126040000000, 0, 0
0.000126200000000, 1, 0
0.001123360000000, 0, 1
0.001123440000000, 1, 0
0.001123520000000, 1, 1
0.001123560000000, 0, 1
0.001123640000000, 1, 0
0.001123720000000, 0, 1
0.001123800000000, 1, 0
0.001123880000000, 0, 1
0.001124120000000, 1, 0
0.001124280000000, 0, 1
0.001124360000000, 1, 0
0.001124520000000, 1, 1
0.001124560000000, 0, 1
0.001124720000000, 1, 0
0.001125040000000, 0, 1
0.001125120000000, 1, 0
0.001125360000000, 0, 1
0.001125440000000, 1, 0
0.001125720000000, 0, 1
0.001125880000000, 1, 0
0.001126040000000, 0, 0
0.001126200000000, 1, 0
0.002123440000000, 0, 1
0.002123520000000, 1, 0
0.002123600000000, 0, 1
0.002123680000000, 1, 1
0.002123720000000, 1, 0
0.002123800000000, 0, 1
0.002123880000000, 1, 0
0.002123960000000, 0, 1
0.002124200000000, 1, 0
0.002124360000000, 0, 1
0.002124440000000, 1, 0
0.002124600000000, 0, 1
0.002125120000000, 1, 0
0.002125200000000, 0, 1
0.002125440000000, 1, 0
0.002125520000000, 0, 1
0.002125680000000, 1, 1
0.002125720000000, 1, 0
0.002125880000000, 0, 1
0.002126040000000, 1, 0
0.002126120000000, 0, 0
0.002126280000000, 1, 0
0.003123480000000, 0, 1
0.003123560000000, 1, 0
0.003123640000000, 0, 1
0.003123720000000, 1, 1
0.003123760000000, 1, 0
0.003123840000000, 0, 1
0.003123920000000, 1, 0
0.003124000000000, 0, 1
0.003124240000000, 1, 0
0.003124400000000, 0, 1
0.003124480000000, 1, 0
0.003124640000000, 0, 1
