Time [s], Analyzer Name, Decoded Protocol Result
0,USB LS and FS,Reset
5.1274778,USB LS and FS,Reset
5.14282096,USB LS and FS,Byte '128' (0x80)
5.14282164,USB LS and FS,Byte '165' (0xA5)
5.14282228,USB LS and FS,Byte c (0x63)
5.14282296,USB LS and FS,Byte '210' (0xD2)
5.14282364,USB LS and FS,EOP
5.14382104,USB LS and FS,Byte '128' (0x80)
5.14382168,USB LS and FS,Byte '165' (0xA5)
5.14382236,USB LS and FS,Byte d (0x64)
5.14382304,USB LS and FS,Byte '170' (0xAA)
5.14382368,USB LS and FS,EOP
5.14482108,USB LS and FS,Byte '128' (0x80)
5.14482176,USB LS and FS,Byte '165' (0xA5)
5.1448224,USB LS and FS,Byte e (0x65)
5.14482308,USB LS and FS,Byte R (0x52)
5.14482376,USB LS and FS,EOP
5.14582112,USB LS and FS,Byte '128' (0x80)
5.1458218,USB LS and FS,Byte '165' (0xA5)
5.14582244,USB LS and FS,Byte f (0x66)
5.14582312,USB LS and FS,Byte '18' (0x12)
5.1458238,USB LS and FS,EOP
5.14682116,USB LS and FS,Byte '128' (0x80)
5.14682184,USB LS and FS,Byte '165' (0xA5)
5.14682248,USB LS and FS,Byte g (0x67)
5.14682316,USB LS and FS,Byte '234' (0xEA)
5.14682384,USB LS and FS,EOP
5.1478212,USB LS and FS,Byte '128' (0x80)
5.14782188,USB LS and FS,Byte '165' (0xA5)
5.14782252,USB LS and FS,Byte h (0x68)
5.1478232,USB LS and FS,Byte '226' (0xE2)
5.14782388,USB LS and FS,EOP
5.14882128,USB LS and FS,Byte '128' (0x80)
5.14882192,USB LS and FS,Byte '165' (0xA5)
5.1488226,USB LS and FS,Byte i (0x69)
5.14882328,USB LS and FS,Byte '26' (0x1A)
5.14882392,USB LS and FS,EOP
5.14982132,USB LS and FS,Byte '128' (0x80)
5.14982196,USB LS and FS,Byte '165' (0xA5)
5.14982264,USB LS and FS,Byte j (0x6A)
5.14982332,USB LS and FS,Byte Z (0x5A)
5.14982396,USB LS and FS,EOP
5.15082136,USB LS and FS,Byte '128' (0x80)
5.150822,USB LS and FS,Byte '165' (0xA5)
5.15082268,USB LS and FS,Byte k (0x6B)
5.15082336,USB LS and FS,Byte '162' (0xA2)
5.150824,USB LS and FS,EOP
5.1518214,USB LS and FS,Byte '128' (0x80)
5.15182204,USB LS and FS,Byte '165' (0xA5)
5.15182272,USB LS and FS,Byte l (0x6C)
5.1518234,USB LS and FS,Byte '218' (0xDA)
5.15182408,USB LS and FS,EOP
5.15282144,USB LS and FS,Byte '128' (0x80)
5.15282212,USB LS and FS,Byte '165' (0xA5)
5.15282276,USB LS and FS,Byte m (0x6D)
5.15282344,USB LS and FS,"Byte "" (0x22)"
5.15282412,USB LS and FS,EOP
5.15382148,USB LS and FS,Byte '128' (0x80)
5.15382216,USB LS and FS,Byte '165' (0xA5)
5.15382284,USB LS and FS,Byte n (0x6E)
5.15382348,USB LS and FS,Byte b (0x62)
5.15382416,USB LS and FS,EOP
5.15482152,USB LS and FS,Byte '128' (0x80)
5.1548222,USB LS and FS,Byte '165' (0xA5)
5.15482284,USB LS and FS,Byte o (0x6F)
5.15482352,USB LS and FS,Byte '154' (0x9A)
