Time [s],Byte
6.356337625000000,0x88
6.356338187500000,0xA5
6.356338875000000,0x6E
6.356339500000000,0xBD
6.363337937500000,0x88
6.363338500000000,0xA5
6.363339187500000,0x75
6.363339812500000,0x6D
6.366338062500000,0x88
6.366338625000000,0xA5
6.366339312500000,0x78
6.366339937500000,0xDD
6.410340062500000,0x88
6.410340625000000,0xA5
6.410341312500000,0xA4
6.410342000000000,0x9D
6.413340187500000,0x88
6.413340750000000,0xA5
6.413341437500000,0xA7
6.413342125000000,0xDD
6.416340312500000,0x88
6.416340875000000,0xA5
6.416341562500000,0xAA
6.416342250000000,0x6D
6.420340500000000,0x88
6.420341062500000,0xA5
6.420341750000000,0xAE
6.420342437500000,0x55
6.481343250000000,0x88
6.481343812500000,0xA5
6.481344500000000,0xEB
6.481345125000000,0xCD
6.491343687500000,0x88
6.491344250000000,0xA5
6.491344937500000,0xF5
6.491345625000000,0xDD
6.499344062500000,0x88
6.499344625000000,0xA5
6.499345312500000,0xFD
6.499346000000000,0xAD
6.530060312500000,0x88
6.530060875000000,0xD2
6.545346125000000,0x88
6.545346687500000,0xA5
6.545347375000000,0x2B
6.545348000000000,0x5E
6.548346250000000,0x88
6.548346812500000,0xA5
6.548347500000000,0x2E
6.548348125000000,0x9E
6.562755375000000,0x88
6.562755937500000,0xD2
6.587348000000000,0x88
6.587348562500000,0xA5
6.587349250000000,0x55
6.587349875000000,0x9E
6.623349625000000,0x88
6.623350187500000,0xA5
6.623350875000000,0x79
6.623351500000000,0x5E
6.737354750000000,0x88
6.737355312500000,0xA5
6.737356000000000,0xEB
6.737356625000000,0xB6
6.804357750000000,0x88
6.804358312500000,0xA5
6.804359000000000,0x2E
6.804359625000000,0xB7
6.826358750000000,0x88
6.826359312500000,0xA5
6.826360000000000,0x44
6.826360625000000,0xAF
6.829358875000000,0x88
6.829359437500000,0xA5
6.829360125000000,0x47
6.829360750000000,0xEF
6.925363187500000,0x88
6.925363750000000,0xA5
6.925364437500000,0xA7
6.925365125000000,0x8F
6.939363812500000,0x88
6.939364375000000,0xA5
6.939365062500000,0xB5
6.939365750000000,0xD7
6.964364937500000,0x88
6.964365500000000,0xA5
6.964366187500000,0xCE
6.964366812500000,0xD7
7.021367500000000,0x88
7.021368062500000,0xA5
7.021368750000000,0x47
7.021369312500000,0xA4
7.309380437500000,0x88
7.309381000000000,0xA5
7.309381687500000,0x27
7.309382312500000,0xC9
7.323381062500000,0x88
7.323381625000000,0xA5
7.323382312500000,0x35
7.323382937500000,0x91
7.344382000000000,0x88
7.344382562500000,0xA5
7.344383250000000,0x4A
7.344383875000000,0xA9
7.345382062500000,0x88
7.345382625000000,0xA5
7.345383312500000,0x4B
7.345383937500000,0x51
7.348382187500000,0x88
7.348382750000000,0xA5
7.348383437500000,0x4E
7.348384062500000,0x91
7.349382250000000,0x88
7.349382812500000,0xA5
7.349383500000000,0x4F
7.349384125000000,0x69
7.370383187500000,0x88
7.370383750000000,0xA5
7.370384437500000,0x64
7.370385062500000,0xD1
7.372155000000000,0x68
7.372155562500000,0x5A
7.373383312500000,0x88
7.373383875000000,0xA5
7.373384562500000,0x67
7.373385187500000,0x91
7.387383937500000,0x88
7.387384500000000,0xA5
7.387385187500000,0x75
7.387385812500000,0xC9
7.437386187500000,0x88
7.437386750000000,0xA5
7.437387437500000,0xA7
7.437388125000000,0x79
7.442386437500000,0x88
7.442387000000000,0xA5
7.442387687500000,0xAC
7.442388375000000,0x49
7.444386500000000,0x88
7.444387062500000,0xA5
7.444387750000000,0xAE
7.444388437500000,0xF1
7.458387125000000,0x88
7.458387687500000,0xA5
7.458388375000000,0xBC
7.458389062500000,0xA9
7.508389375000000,0x88
7.508389937500000,0xA5
7.508390625000000,0xEE
7.508391250000000,0xA9
7.562391812500000,0x88
7.562392375000000,0xA5
7.562393062500000,0x24
7.562393687500000,0xF2
7.565391937500000,0x88
7.565392500000000,0xA5
7.565393187500000,0x27
7.565393812500000,0xB2
7.587392937500000,0x88
7.587393500000000,0xA5
7.587394187500000,0x3D
7.587394812500000,0x9A
7.626394687500000,0x88
7.626395250000000,0xA5
7.626395937500000,0x64
7.626396562500000,0xAA
7.629394812500000,0x88
7.629395375000000,0xA5
7.629396062500000,0x67
7.629396687500000,0xEA
7.647395625000000,0x88
7.647396187500000,0xA5
7.647396875000000,0x79
7.647397500000000,0xFA
7.700398000000000,0x88
7.700398562500000,0xA5
7.700399250000000,0xAE
7.700399875000000,0x8A
7.714398625000000,0x88
7.714399187500000,0xA5
7.714399875000000,0xBC
7.714400500000000,0xD2
7.723399062500000,0x88
7.723399625000000,0xA5
7.723400312500000,0xC5
7.723400937500000,0x6A
7.725399125000000,0x88
7.725399687500000,0xA5
7.725400375000000,0xC7
7.725401000000000,0xD2
7.729399312500000,0x88
7.729399875000000,0xA5
7.729400562500000,0xCB
7.729401187500000,0x9A
7.739399750000000,0x88
7.739400312500000,0xA5
7.739401000000000,0xD5
7.739401625000000,0x8A
7.740399812500000,0x88
7.740400375000000,0xA5
7.740401062500000,0xD6
7.740401687500000,0xCA
7.760400687500000,0x88
7.760401250000000,0xA5
7.760401937500000,0xEA
7.760402562500000,0xEA
7.764400875000000,0x88
7.764401437500000,0xA5
7.764402125000000,0xEE
7.764402750000000,0xD2
7.774401312500000,0x88
7.774401875000000,0xA5
7.774402562500000,0xF8
7.774403187500000,0xB2
7.775401375000000,0x88
7.775401937500000,0xA5
7.775402625000000,0xF9
7.775403250000000,0x4A
7.818403312500000,0x88
7.818403875000000,0xA5
7.818404562500000,0x24
7.818405187500000,0xDB
7.825403625000000,0x88
7.825404187500000,0xA5
7.825404875000000,0x2B
7.825405500000000,0xD3
7.843404437500000,0x88
7.843405000000000,0xA5
7.843405687500000,0x3D
