name,type,start_time,duration,value
USB LS and FS,v1frame,6.55334656,7.50E-07,Error packet
USB LS and FS,v1frame,6.55334731,2.50E-07,Error packet
USB LS and FS,v1frame,6.55334788,4.38E-07,Error packet
USB LS and FS,v1frame,6.55334831,5.00E-07,Error packet
USB LS and FS,v1frame,6.55434644,2.81E-06,Error packet
USB LS and FS,v1frame,6.55534656,2.75E-06,Error packet
USB LS and FS,v1frame,6.5563465,2.81E-06,Error packet
USB LS and FS,v1frame,6.55734656,2.81E-06,Error packet
USB LS and FS,v1frame,6.55834663,2.88E-06,Error packet
USB LS and FS,v1frame,6.55934675,2.75E-06,Error packet
USB LS and FS,v1frame,6.56002581,3.75E-07,Error packet
USB LS and FS,v1frame,6.56002619,1.75E-06,Error packet
USB LS and FS,v1frame,6.56002794,2.50E-07,Error packet
USB LS and FS,v1frame,6.56002819,4.38E-07,Error packet
USB LS and FS,v1frame,6.56002925,1.88E-07,Error packet
USB LS and FS,v1frame,6.56002944,7.50E-07,Error packet
USB LS and FS,v1frame,6.56003019,1.81E-06,Error packet
USB LS and FS,v1frame,6.56003194,2.50E-07,Error packet
USB LS and FS,v1frame,6.56003219,2.50E-07,Error packet
USB LS and FS,v1frame,6.56003244,2.50E-07,Error packet
USB LS and FS,v1frame,6.56003269,2.50E-07,Error packet
USB LS and FS,v1frame,6.56003294,2.50E-07,Error packet
USB LS and FS,v1frame,6.56003319,2.50E-07,Error packet
USB LS and FS,v1frame,6.56003344,2.50E-07,Error packet
USB LS and FS,v1frame,6.56003369,5.00E-07,Error packet
USB LS and FS,v1frame,6.56003419,1.00E-06,Error packet
USB LS and FS,v1frame,6.56003519,2.50E-07,Error packet
USB LS and FS,v1frame,6.56003544,2.50E-07,Error packet
USB LS and FS,v1frame,6.56003569,5.00E-07,Error packet
USB LS and FS,v1frame,6.56003619,1.19E-06,Error packet
USB LS and FS,v1frame,6.56003787,3.75E-07,Error packet
USB LS and FS,v1frame,6.56003825,5.00E-07,Error packet
USB LS and FS,v1frame,6.56003875,2.50E-07,Error packet
USB LS and FS,v1frame,6.560138,3.75E-07,Error packet
USB LS and FS,v1frame,6.56013838,5.00E-07,Error packet
USB LS and FS,v1frame,6.56013944,6.88E-07,Error packet
USB LS and FS,v1frame,6.56014013,2.50E-07,Error packet
USB LS and FS,v1frame,6.56014037,4.38E-07,Error packet
USB LS and FS,v1frame,6.56014131,1.50E-06,Error packet
USB LS and FS,v1frame,6.56034669,2.81E-06,Error packet
USB LS and FS,v1frame,6.56134675,2.81E-06,Error packet
USB LS and FS,v1frame,6.56136813,2.81E-06,Error packet
USB LS and FS,v1frame,6.56137144,8.13E-06,Error packet
USB LS and FS,v1frame,6.56138019,1.50E-06,Error packet
USB LS and FS,v1frame,6.56151337,2.81E-06,Error packet
USB LS and FS,v1frame,6.56151669,1.50E-06,Error packet
USB LS and FS,v1frame,6.56234681,2.50E-07,Error packet
USB LS and FS,v1frame,6.56234706,2.50E-07,Error packet
USB LS and FS,v1frame,6.56234769,1.25E-07,Error packet
USB LS and FS,v1frame,6.56234812,9.38E-07,Error packet
USB LS and FS,v1frame,6.56234906,5.63E-07,Error packet
USB LS and FS,v1frame,6.56274319,1.25E-07,Error packet
USB LS and FS,v1frame,6.56274331,2.50E-07,Error packet
USB LS and FS,v1frame,6.56274356,5.00E-07,Error packet
USB LS and FS,v1frame,6.56274462,1.88E-07,Error packet
USB LS and FS,v1frame,6.56274494,1.25E-07,Error packet
USB LS and FS,v1frame,6.56274506,2.50E-07,Error packet
USB LS and FS,v1frame,6.56274531,2.50E-07,Error packet
USB LS and FS,v1frame,6.56274556,2.50E-07,Error packet
USB LS and FS,v1frame,6.56274581,2.50E-07,Error packet
USB LS and FS,v1frame,6.56274656,8.13E-06,Error packet
USB LS and FS,v1frame,6.56275538,5.63E-07,SYNC
USB LS and FS,v1frame,6.56275594,6.88E-07,PID ACK
USB LS and FS,v1frame,6.56275662,1.88E-07,EOP
USB LS and FS,v1frame,6.56288606,2.75E-06,Error packet
USB LS and FS,v1frame,6.56288919,1.25E-07,Error packet
USB LS and FS,v1frame,6.56288931,1.38E-06,Error packet
USB LS and FS,v1frame,6.56334681,1.25E-07,Error packet
USB LS and FS,v1frame,6.56334694,2.50E-07,Error packet
USB LS and FS,v1frame,6.56334719,1.50E-06,Error packet
USB LS and FS,v1frame,6.56334869,7.50E-07,Error packet
USB LS and FS,v1frame,6.56334944,2.50E-07,Error packet
USB LS and FS,v1frame,6.56411825,2.81E-06,Error packet
USB LS and FS,v1frame,6.5641215,3.19E-06,Error packet
USB LS and FS,v1frame,6.56412469,1.06E-06,Error packet
USB LS and FS,v1frame,6.56412644,2.50E-07,Error packet
USB LS and FS,v1frame,6.56412669,2.50E-07,Error packet
USB LS and FS,v1frame,6.56412725,6.25E-07,Error packet
USB LS and FS,v1frame,6.56426156,2.75E-06,Error packet
USB LS and FS,v1frame,6.56426488,2.88E-06,Error packet
USB LS and FS,v1frame,6.56426806,1.25E-07,Error packet
USB LS and FS,v1frame,6.56426819,2.50E-07,Error packet
USB LS and FS,v1frame,6.56426844,5.00E-07,Error packet
USB LS and FS,v1frame,6.56426894,2.50E-07,Error packet
