Time [s],PID,Address,Endpoint,Frame #,Data,CRC
6.431365938,Parsing error,,,,,
6.431366563,Parsing error,,,,,
6.431366813,Parsing error,,,,,
6.431367063,Parsing error,,,,,
6.431367313,Parsing error,,,,,
6.431367438,Parsing error,,,,,
6.431367688,Parsing error,,,,,
6.431367938,Parsing error,,,,,
6.431368188,Parsing error,,,,,
6.431368438,Parsing error,,,,,
6.431368688,Parsing error,,,,,
6.431369063,Parsing error,,,,,
6.431369188,Parsing error,,,,,
6.431369438,Parsing error,,,,,
6.431369688,Parsing error,,,,,
6.431369938,Parsing error,,,,,
6.431370188,Parsing error,,,,,
6.431370438,Parsing error,,,,,
6.431370688,Parsing error,,,,,
6.431370938,Parsing error,,,,,
6.431371188,Parsing error,,,,,
6.431371438,Parsing error,,,,,
6.431371688,Parsing error,,,,,
6.431371938,Parsing error,,,,,
6.431373188,Parsing error,,,,,
6.431374375,Parsing error,,,,,
6.431374563,Parsing error,,,,,
6.431374813,Parsing error,,,,,
6.431375188,Parsing error,,,,,
6.431505938,Parsing error,,,,,
6.43150925,Parsing error,,,,,
6.4315125,Parsing error,,,,,
6.431512688,Parsing error,,,,,
6.431512938,Parsing error,,,,,
6.431513313,Parsing error,,,,,
6.447341688,Parsing error,,,,,
6.448341688,Parsing error,,,,,
6.448341938,Parsing error,,,,,
6.448342563,Parsing error,,,,,
6.448343313,Parsing error,,,,,
6.449341688,Parsing error,,,,,
6.449341813,Parsing error,,,,,
6.449342063,Parsing error,,,,,
6.449343938,Parsing error,,,,,
6.449344063,Parsing error,,,,,
6.449344313,Parsing error,,,,,
6.45034175,Parsing error,,,,,
6.450341938,Parsing error,,,,,
6.450342188,Parsing error,,,,,
6.450342688,Parsing error,,,,,
6.450343063,Parsing error,,,,,
6.450343438,Parsing error,,,,,
6.451341813,Parsing error,,,,,
6.451342063,Parsing error,,,,,
6.451342688,Parsing error,,,,,
6.451343438,Parsing error,,,,,
6.451344063,Parsing error,,,,,
6.452341938,Parsing error,,,,,
6.453341875,Parsing error,,,,,
6.454341938,Parsing error,,,,,
6.455342063,Parsing error,,,,,
6.456342125,Parsing error,,,,,
6.457342063,Parsing error,,,,,
6.458342125,Parsing error,,,,,
6.45934225,Parsing error,,,,,
6.460342188,Parsing error,,,,,
6.460342313,Parsing error,,,,,
6.46134225,Parsing error,,,,,
6.461342438,Parsing error,,,,,
6.461342688,Parsing error,,,,,
6.461343188,Parsing error,,,,,
6.462342313,Parsing error,,,,,
6.462342563,Parsing error,,,,,
6.462343188,Parsing error,,,,,
6.462343625,Parsing error,,,,,
6.462344563,Parsing error,,,,,
6.463342313,Parsing error,,,,,
6.463342438,Parsing error,,,,,
6.463342688,Parsing error,,,,,
6.46334475,Parsing error,,,,,
6.463344938,Parsing error,,,,,
6.4643425,Parsing error,,,,,
6.465342438,Parsing error,,,,,
6.466342563,Parsing error,,,,,
6.4673425,Parsing error,,,,,
6.468342563,Parsing error,,,,,
